name	taxonomy_id	taxonomic_lineage
Syntrophobacterales	213462	d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophobacteria;o__;f__;g__
Mesoaciditogales	1769716	d__Bacteria;p__Thermotogota;c__Thermotogae;o__;f__;g__
Candidatus Nanosynbacterales	2093819	d__Bacteria;p__Candidatus Saccharibacteria;c__Candidatus Saccharimonadia;o__;f__;g__
Candidatus Babeliales	2497644	d__Bacteria;p__;c__Candidatus Babeliae;o__;f__;g__
Acanthopleuribacterales	533206	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__;f__;g__
Silvanigrellales	2024973	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__;f__;g__
Dictyoglomales	203487	d__Bacteria;p__Dictyoglomota;c__Dictyoglomia;o__;f__;g__
Atribacterales	2847775	d__Bacteria;p__Atribacterota;c__Atribacteria;o__;f__;g__
Endomicrobiales	1783344	d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__;f__;g__
Elusimicrobiales	641854	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__;f__;g__
Chrysiogenales	189769	d__Bacteria;p__Chrysiogenota;c__Chrysiogenetes;o__;f__;g__
Bradymonadales	1779134	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__
Calditrichales	1962852	d__Bacteria;p__Calditrichota;c__Calditrichia;o__;f__;g__
Coprothermobacterales	2138246	d__Bacteria;p__Coprothermobacterota;c__Coprothermobacteria;o__;f__;g__













Actinopolysporales	622450	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Acidothermales	1643683	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Egicoccales	1755823	d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__;f__;g__
Fimbriimonadales	1663425	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__;f__;g__
Salinisphaerales	742030	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Ferrovales	1442155	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__
Mariprofundales	580371	d__Bacteria;p__Pseudomonadota;c__Zetaproteobacteria;o__;f__;g__
Desulfomonilales	3031657	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfomonilia;o__;f__;g__
Desulfobaccales	3031655	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobaccia;o__;f__;g__
Tepidisphaerales	1771349	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__;f__;g__
Methylacidiphilales	717963	d__Bacteria;p__Verrucomicrobiota;c__Methylacidiphilae;o__;f__;g__
Bryobacterales	332160	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__;f__;g__
Thermotomaculales	2562243	d__Bacteria;p__Acidobacteriota;c__Holophagae;o__;f__;g__



Thermoleophilales	588674	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__;f__;g__
Ktedonobacterales	388448	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__;f__;g__
Candidatus Sulfidibacteriales	2923288	d__Bacteria;p__Bacteroidota;c__;o__;f__;g__
Brevinematales	1643687	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__
Desulfurellales	213113	d__Bacteria;p__Campylobacterota;c__Desulfurellia;o__;f__;g__
Candidatus Desulfofervidales	3031460	d__Bacteria;p__Thermodesulfobacteriota;c__Candidatus Desulfofervidia;o__;f__;g__



Sporichthyales	2495578	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Trueperales	2762275	d__Bacteria;p__Deinococcota;c__Deinococci;o__;f__;g__
Candidatus Absconditabacterales	2900568	d__Bacteria;p__Candidatus Absconditabacteria;c__;o__;f__;g__


Hydrogenophilales	119069	d__Bacteria;p__Pseudomonadota;c__Hydrogenophilia;o__;f__;g__

Caldisericales	693072	d__Bacteria;p__Caldisericota;c__Caldisericia;o__;f__;g__







Candidatus Comchoanobacterales	2975284	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__









Candidatus Saccharimonadales	2093825	d__Bacteria;p__Candidatus Saccharibacteria;c__Candidatus Saccharimonadia;o__;f__;g__





















