name	taxonomy_id	taxonomic_lineage
Alcaligenaceae	506	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__
Oxalobacteraceae	75682	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__
Sphaerotilaceae	2975441	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__
Zoogloeaceae	2008794	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__;g__
Rhodocyclaceae	75787	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__;g__
Azonexaceae	2008795	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__;g__
Chromobacteriaceae	1499392	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__;g__
Neisseriaceae	481	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__;g__
Sulfuricellaceae	2772226	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__
Sterolibacteriaceae	2008793	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__
Gallionellaceae	90627	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__
Usitatibacteraceae	2803844	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__
Methylophilaceae	32011	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__;g__
Acidithiobacillaceae	225058	d__Bacteria;p__Pseudomonadota;c__Acidithiobacillia;o__Acidithiobacillales;f__;g__
Bacteroidaceae	815	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Prevotellaceae	171552	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Tannerellaceae	2005525	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Rikenellaceae	171550	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Odoribacteraceae	1853231	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Porphyromonadaceae	171551	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Muribaculaceae	2005473	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Barnesiellaceae	2005519	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Dysgonomonadaceae	2005520	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Paludibacteraceae	2005523	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__
Prolixibacteraceae	1471398	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__;g__
Marinilabiliaceae	558415	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__;g__
Flavobacteriaceae	49546	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__;g__
Weeksellaceae	2762318	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__;g__
Blattabacteriaceae	39782	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__;g__
Hymenobacteraceae	1853232	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__;g__
Cytophagaceae	89373	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__;g__
Spirosomataceae	2896860	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__;g__
Marivirgaceae	2762301	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__;g__
Cyclobacteriaceae	563798	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__;g__
Fulvivirgaceae	2762286	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__;g__
Sphingobacteriaceae	84566	d__Bacteria;p__Bacteroidota;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__
